surface,chambres,sdb,etage,location,prix
125 m²,3 chambres,1 sdb,Rez de chaussée,"Route Ain Chkaf, Fès",520 000
80 m²,2 chambres,1 sdb,Étage 1,"Route Ain Chkaf, Fès",520 000
144 m²,2 chambres,2 sdbs,Étage 2,"Agdal, Fès",1 250 000
Not Specified,2 chambres,1 sdb,Étage 2,"Zouagha, Fès",160 000
111 m²,3 chambres,1 sdb,Étage 2,"Hay Riad, Fès",1 400 000
146 m²,3 chambres,3 sdbs,Rez de chaussée,"Agdal, Fès",820 000
105 m²,2 chambres,3 sdbs,Étage 2,"Autre secteur, Fès",49
Not Specified,2 chambres,1 sdb,Étage 1,"Mont fleuri, Fès",Not Specified
92 m²,2 chambres,1 sdb,Étage 3,"Agdal, Fès",520 000
110 m²,3 chambres,3 sdbs,Étage 3,"Route Ain Chkaf, Fès",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 2,"Centre, Fès",Not Specified
179 m²,3 chambres,2 sdbs,Étage 1,"Hay Atlas, Fès",950 000
123 m²,3 chambres,3 sdbs,Étage 1,"Narjis, Fès",750 000
81 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Fès",450 000
143 m²,3 chambres,3 sdbs,Rez de chaussée,"Jnan El ward, Fès",700 000
50 m²,Not Specified,Not Specified,Not Specified,"Al Hadiqa, Fès",180 000
202 m²,3 chambres,4 sdbs,Étage 7,"Champ de course, Fès",Not Specified
115 m²,2 chambres,1 sdb,Étage 1,"Mont fleuri, Fès",400 000
55 m²,2 chambres,1 sdb,Étage 3,"Route Ain Chkaf, Fès",310 000
76 m²,3 chambres,2 sdbs,Étage 3,"Narjis, Fès",Not Specified
60 m²,2 chambres,1 sdb,Étage 1,"Route Ain Chkaf, Fès",170 000
138 m²,3 chambres,2 sdbs,Étage 4,"Hay Atlas, Fès",400 000
Not Specified,3 chambres,Not Specified,Étage 7,"Champ de course, Fès",Not Specified
90 m²,3 chambres,1 sdb,Étage 2,"Fès Médina, Fès",400 000
66 m²,2 chambres,1 sdb,Étage 1,"Ain Amiyer, Fès",520 000
Not Specified,3 chambres,1 sdb,Étage 4,"Narjis, Fès",610 000
92 m²,2 chambres,1 sdb,Étage 3,"Agdal, Fès",520 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Centre, Fès",750 000
96 m²,3 chambres,2 sdbs,Étage 2,"Oued Fès, Fès",680 000
156 m²,3 chambres,3 sdbs,Rez de chaussée,"Centre, Fès",60
84 m²,3 chambres,1 sdb,Étage 3,"Hay Riad, Fès",450 000
186 m²,3 chambres,2 sdbs,Étage 1,"Route d'Immouzere, Fès",1 590 000
81 m²,3 chambres,2 sdbs,Étage 3,"Ain Amiyer, Fès",Not Specified
165 m²,4 chambres,2 sdbs,Étage 1,"Narjis, Fès",1 000 000
Not Specified,3 chambres,Not Specified,Étage 2,"Oued Fès, Fès",Not Specified
90 m²,4 chambres,2 sdbs,Étage 2,"Ben Souda, Fès",56
Not Specified,2 chambres,2 sdbs,Étage 7,"Champ de course, Fès",1 050 000
135 m²,3 chambres,2 sdbs,Rez de chaussée,"Route Ain Chkaf, Fès",Not Specified
Not Specified,2 chambres,Not Specified,Étage 4,"Route de Sefrou, Fès",420 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Agdal, Fès",820 000
94 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Fès",38
149 m²,3 chambres,2 sdbs,Étage 3,"Champ de course, Fès",1 250 000
109 m²,3 chambres,2 sdbs,Étage 4,"Champ de course, Fès",980 000
Not Specified,4 chambres,Not Specified,Étage 2,"Oued Fès, Fès",Not Specified
90 m²,2 chambres,2 sdbs,Étage 2,"Ben Souda, Fès",600 000
Not Specified,3 chambres,3 sdbs,Étage 2,"Route de Sefrou, Fès",650 000
67 m²,2 chambres,1 sdb,Étage 1,"Hay Riad, Fès",340 000
19 m²,1 chambre,1 sdb,Rez de chaussée,"Agdal, Fès",820 000
186 m²,3 chambres,2 sdbs,Étage 2,"Agdal, Fès",1 300 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Fes Jdid, Fès",1 450 000
78 m²,3 chambres,1 sdb,Étage 1,"Oued Fès, Fès",250 000
100 m²,2 chambres,1 sdb,Étage 1,"Fès Médina, Fès",Not Specified
80 m²,2 chambres,0 sdb,Étage 4,"Autre secteur, Fès",200 000
90 m²,2 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",620 000
104 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",500 000
94 m²,3 chambres,1 sdb,Étage 4,"Hay Riad, Fès",430 000
124 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Fès",720 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Route d'Immouzere, Fès",780 000
164 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Fès",900 000
150 m²,2 chambres,2 sdbs,Étage 1,"Hay Riad, Fès",520 000
78 m²,2 chambres,1 sdb,Étage 3,"Ben Souda, Fès",320 000
65 m²,2 chambres,2 sdbs,Étage 2,"Centre, Fès",480 000
163 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",Not Specified
154 m²,3 chambres,3 sdbs,Étage 2,"Tghat, Fès",Not Specified
108 m²,1 chambre,2 sdbs,Étage 3,"Autre secteur, Fès",Not Specified
207 m²,4 chambres,2 sdbs,Étage 3,"Agdal, Fès",Not Specified
72 m²,3 chambres,1 sdb,Étage 3,"Route Ain Chkaf, Fès",400 000
72 m²,2 chambres,1 sdb,Étage 3,"Sehrij Gnawa, Fès",160 000
100 m²,2 chambres,2 sdbs,Étage 2,"Narjis, Fès",Not Specified
107 m²,3 chambres,2 sdbs,Étage 1,"Sehb El Ward, Fès",570 000
Not Specified,2 chambres,1 sdb,Étage 2,"Ben Souda, Fès",Not Specified
82 m²,2 chambres,2 sdbs,Étage 2,"Ben Souda, Fès",500 000
145 m²,4 chambres,2 sdbs,Étage 1,"Route d'Immouzere, Fès",110
90 m²,2 chambres,1 sdb,Étage 1,"Fès Médina, Fès",350 000
Not Specified,3 chambres,Not Specified,Étage 3,"Route d'Immouzere, Fès",1 250 000
124 m²,3 chambres,1 sdb,Étage 3,"Autre secteur, Fès",550 000
161 m²,3 chambres,Not Specified,Étage 1,"Champ de course, Fès",Not Specified
1170 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",Not Specified
97 m²,2 chambres,2 sdbs,Étage 4,"Narjis, Fès",420 000
72 m²,2 chambres,2 sdbs,Étage 1,"Narjis, Fès",Not Specified
Not Specified,2 chambres,1 sdb,Étage 1,Fès,250 000
90 m²,2 chambres,1 sdb,Étage 1,"Fès Médina, Fès",350 000
Not Specified,4 chambres,Not Specified,Étage 2,"Route Ain Chkaf, Fès",1 100 000
155 m²,3 chambres,2 sdbs,Étage 2,"Champ de course, Fès",1 230 000
112 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Fès",670 000
144 m²,3 chambres,3 sdbs,Étage 4,Fès,Not Specified
90 m²,2 chambres,2 sdbs,Étage 1,"Narjis, Fès",510 000
