surface,chambres,sdb,etage,location,prix
128 m²,3 chambres,2 sdbs,Rez de chaussée,"Souissi, Rabat",3 330 000
217 m²,3 chambres,2 sdbs,Étage 3,"Agdal, Rabat",4 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 400 000
260 m²,4 chambres,3 sdbs,Étage 1,"Hay Riad, Rabat",460 000 000
180 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Rabat",3 900 000
2505 m²,3 chambres,2 sdbs,Étage 1,"Hay Riad, Rabat",5 500 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Yacoub El Mansour, Rabat",1 450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,540 000
124 m²,3 chambres,2 sdbs,Étage 2,"Quartier de l'Océan, Rabat",2 250 000
141 m²,4 chambres,2 sdbs,Étage 3,"Autre secteur, Rabat",3 000 000
114 m²,2 chambres,2 sdbs,Étage 3,"Aviation - Mabella, Rabat",2 560 000
Not Specified,2 chambres,Not Specified,Rez de chaussée,"Hay Riad, Rabat",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 570 000
Not Specified,2 chambres,0 sdb,Rez de chaussée,"Agdal, Rabat",2 000 000
113 m²,2 chambres,2 sdbs,Étage 4,"Hassan, Rabat",230 000 000
Not Specified,6 chambres,Not Specified,Étage 2,"Kébibat, Rabat",Not Specified
178 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Rabat",23 500
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
156 m²,4 chambres,3 sdbs,Étage 4,"Hay Riad, Rabat",Not Specified
95 m²,2 chambres,1 sdb,Étage 3,"Hay Nahda, Rabat",750 000
115 m²,4 chambres,1 sdb,Étage 7,"Diour Jamaa, Rabat",1 700 000
Not Specified,2 chambres,1 sdb,Étage 3,"Hassan, Rabat",1 550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,530 000
50 m²,1 chambre,1 sdb,Étage 2,"Quartier de l'Océan, Rabat",1 080 000
Not Specified,4 chambres,Not Specified,Étage 3,"Yacoub El Mansour, Rabat",1 700 000
Not Specified,2 chambres,Not Specified,Étage 1,"Autre secteur, Rabat",1 900 000
122 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Rabat",2 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,782 100
0 m²,3 chambres,4 sdbs,Étage 1,"Yacoub El Mansour, Rabat",2 150 000
71 m²,1 chambre,1 sdb,Étage 3,"Hassan, Rabat",Not Specified
180 m²,3 chambres,2 sdbs,Étage 1,"Diour Jamaa, Rabat",2 200 000
110 m²,3 chambres,4 sdbs,Étage 1,"Yacoub El Mansour, Rabat",2 150 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 200 000
0 m²,3 chambres,4 sdbs,Étage 1,"Yacoub El Mansour, Rabat",2 150 000
0 m²,3 chambres,4 sdbs,Étage 1,"Yacoub El Mansour, Rabat",2 150 000
129 m²,3 chambres,2 sdbs,Étage 6,"Agdal, Rabat",2 835 000
143 m²,3 chambres,2 sdbs,Étage 3,"Hay Riad, Rabat",3 650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 400 000
88 m²,2 chambres,2 sdbs,Étage 1,"Diour Jamaa, Rabat",1 580 000
