surface,chambres,sdb,etage,location,prix
95 m²,3 chambres,2 sdbs,Étage 2,"Tilila, Agadir",995 000
50 m²,2 chambres,1 sdb,Étage 3,"Hay Mohammadi, Agadir",485 000
101 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Agadir",1 100 000
Not Specified,2 chambres,Not Specified,Étage 2,"Tilila, Agadir",550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,974 283
Not Specified,3 chambres,2 sdbs,Étage 1,"Tilila, Agadir",1 300 000
120 m²,3 chambres,2 sdbs,Rez de chaussée,"Centre Ville, Agadir",1 990 000
Not Specified,1 chambre,1 sdb,Étage 3,"Hay Salam, Agadir",550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,850 000
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
66 m²,2 chambres,1 sdb,Étage 4,"Agadir, Hay Salam",920 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
Not Specified,2 chambres,1 sdb,Étage 2,"Cité Adrar, Agadir",680 000
Not Specified,4 chambres,Not Specified,Étage 4,"Hay Salam, Agadir",Not Specified
50 m²,2 chambres,0 sdb,Rez de chaussée,"Ben Serguaou, Agadir",550 000
55 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",590 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
60 m²,2 chambres,2 sdbs,Étage 2,"Hay Salam, Agadir",450 000
Not Specified,2 chambres,1 sdb,Étage 2,"Hay Mohammadi, Agadir",550 000
86 m²,2 chambres,2 sdbs,Étage 2,"Hay Salam, Agadir",1 200 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"El Houda, Agadir",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,595 000
70 m²,3 chambres,1 sdb,Étage 1,"El Houda, Agadir",750 000
55 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",530 000
Not Specified,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",860 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",1 150 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 250 000
60 m²,3 chambres,1 sdb,Not Specified,Agadir,78
56 m²,2 chambres,1 sdb,Étage 1,"Hay Salam, Agadir",630 000
69 m²,3 chambres,1 sdb,Étage 4,"Le centre-ville, Agadir",520 000
50 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",540 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
86 m²,3 chambres,2 sdbs,Étage 3,"El Houda, Agadir",1 150 000
Not Specified,Not Specified,Not Specified,Not Specified,"El Houda, Agadir",13 500
67 m²,2 chambres,2 sdbs,Rez de chaussée,Agadir,55
92 m²,2 chambres,2 sdbs,Étage 1,"Tamraght, Agadir",1 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 117 813
50 m²,2 chambres,1 sdb,Étage 3,"Hay Mohammadi, Agadir",530 000
100 m²,2 chambres,2 sdbs,Étage 2,"Tamraght, Agadir",1 500 000
143 m²,3 chambres,2 sdbs,Étage 7,"Hay Mohammadi, Agadir",1 600 000
56 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Agadir",450 000
