surface,chambres,sdb,etage,location,prix
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 430 000
87 m²,2 chambres,1 sdb,Étage 4,"Ahlane, Tanger",700 000
147 m²,3 chambres,2 sdbs,Étage 1,"Malabata, Tanger",2 400 000
Not Specified,3 chambres,1 sdb,Étage 2,"Autre secteur, Tanger",Not Specified
Not Specified,3 chambres,1 sdb,Étage 2,"Castilla, Tanger",1 950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
Not Specified,2 chambres,1 sdb,Étage 2,"Castilla, Tanger",1 150 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Malabata, Tanger",3 290 000
Not Specified,2 chambres,Not Specified,Étage 1,"Autre secteur, Tanger",660 000
Not Specified,3 chambres,1 sdb,Étage 9,"Administratif, Tanger",1 650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 500 000
137 m²,3 chambres,2 sdbs,Étage 2,"Iberie, Tanger",Not Specified
Not Specified,1 chambre,2 sdbs,Étage 2,"manar, Tanger",Not Specified
161 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Tanger",Not Specified
100 m²,3 chambres,1 sdb,Étage 4,"Autre secteur, Tanger",1 250 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,396 000
185 m²,2 chambres,2 sdbs,Étage 2,"De La Plage, Tanger",2 600 000
160 m²,3 chambres,2 sdbs,Étage 7,"Centre ville, Tanger",2 300 000
Not Specified,2 chambres,1 sdb,Étage 2,"Centre, Tanger",Not Specified
60 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Tanger",505 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
88 m²,3 chambres,2 sdbs,Étage 2,"Hay Hassani, Tanger",11 000
83 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Tanger",11 000
100 m²,3 chambres,1 sdb,Not Specified,"Centre, Tanger",25 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 326 000
50 m²,2 chambres,1 sdb,Étage 3,"Tanger, Centre",450 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Tanger, Malabata",135 000 000
40 m²,2 chambres,1 sdb,Étage 2,"Tanger, Centre",Not Specified
95 m²,2 chambres,2 sdbs,Étage 1,"manar, Tanger",Not Specified
138 m²,3 chambres,2 sdbs,Étage 8,"Centre ville, Tanger",2 200 000
210 m²,3 chambres,2 sdbs,Étage 6,"Moulay Youssef, Tanger",3 360 000
76 m²,2 chambres,2 sdbs,Étage 4,"Mesnana, Tanger",15 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,830 000
76 m²,2 chambres,1 sdb,Étage 5,"Aharrarine, Tanger",12 500
50 m²,2 chambres,1 sdb,Étage 6,"la Nouvelle Ville Ibn Battouta, Tanger",12 000
57 m²,2 chambres,1 sdb,Rez de chaussée,"Zemmouri, Tanger",700 000
Not Specified,1 chambre,1 sdb,Étage 1,"Autre secteur, Tanger",460 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
200 m²,5 chambres,2 sdbs,Étage 8,"Tanger City Center, Tanger",2 400 000
81 m²,2 chambres,2 sdbs,Étage 3,"Marjane, Tanger",1 200 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Marjane, Tanger",1 150 000
60 m²,2 chambres,1 sdb,Étage 2,"Zemmouri, Tanger",510 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 326 000
150 m²,2 chambres,2 sdbs,Étage 2,"Malabata, Tanger",2 700 000
142 m²,3 chambres,2 sdbs,Étage 3,"De La Plage, Tanger",Not Specified
56 m²,2 chambres,1 sdb,Étage 4,"Boukhalef, Tanger",39 000 000
100 m²,3 chambres,2 sdbs,Étage 4,"Centre, Tanger",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
183 m²,4 chambres,3 sdbs,Étage 6,"Castilla, Tanger",2 104 500
60 m²,1 chambre,1 sdb,Étage 1,"Tanja Balia, Tanger",480 000
120 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 680 000
83 m²,1 chambre,2 sdbs,Étage 1,"Centre ville, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 430 000
80 m²,2 chambres,1 sdb,Étage 8,"Marjane, Tanger",950 000
Not Specified,2 chambres,2 sdbs,Étage 8,"Branes 2, Tanger",1 350 000
55 m²,2 chambres,1 sdb,Étage 2,"Tanja Balia, Tanger",595 000
80 m²,3 chambres,1 sdb,Étage 1,"Marjane, Tanger",820 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
62 m²,2 chambres,1 sdb,Étage 1,"Hay Hassani, Tanger",600 000
69 m²,2 chambres,2 sdbs,Étage 4,"Hay Hassani, Tanger",810 000
57 m²,2 chambres,1 sdb,Étage 2,"Marjane, Tanger",450 000
107 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 390 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
80 m²,2 chambres,2 sdbs,Étage 3,"Malabata, Tanger",1 120 000
57 m²,2 chambres,1 sdb,Étage 3,"Tanja Balia, Tanger",580 000
88 m²,2 chambres,2 sdbs,Étage 4,"Tanja Balia, Tanger",660 000
93 m²,3 chambres,1 sdb,Étage 6,"Tanja Balia, Tanger",740 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
102 m²,4 chambres,2 sdbs,Étage 1,"Tanja Balia, Tanger",1 070 000
Not Specified,3 chambres,2 sdbs,Étage 5,"Centre ville, Tanger",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 5,"Centre ville, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
200 m²,5 chambres,2 sdbs,Étage 8,"Tanger, Tanger City Center",2 400 000
50 m²,2 chambres,1 sdb,Étage 3,"Tanger, Centre",450 000
183 m²,4 chambres,3 sdbs,Étage 6,"Tanger, Centre ville",11 500
137 m²,3 chambres,2 sdbs,Étage 5,"Centre ville, Tanger",Not Specified
86 m²,2 chambres,2 sdbs,Étage 1,"Centre, Tanger",1 300 000
109 m²,2 chambres,2 sdbs,Étage 8,"Mesnana, Tanger",1 480 000
Not Specified,3 chambres,2 sdbs,Étage 5,"Centre ville, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
50 m²,2 chambres,1 sdb,Étage 3,"Centre, Tanger",450 000
58 m²,2 chambres,1 sdb,Étage 5,"Mesnana, Tanger",620 000
82 m²,3 chambres,1 sdb,Étage 4,"Autre secteur, Tanger",690 000
105 m²,2 chambres,2 sdbs,Étage 3,"Mesnana, Tanger",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
146 m²,3 chambres,2 sdbs,Étage 1,"Centre, Tanger",1 950 000
80 m²,3 chambres,2 sdbs,Étage 1,"Aharrarine, Tanger",610 000
33 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Tanger",330 000
202 m²,3 chambres,3 sdbs,Étage 8,"Centre ville, Tanger",3 340 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
72 m²,2 chambres,1 sdb,Étage 2,"Mesnana, Tanger",1 080 000
60 m²,2 chambres,1 sdb,Étage 6,"Autre secteur, Tanger",450 000
88 m²,2 chambres,1 sdb,Étage 1,"Tanja Balia, Tanger",750 000
Not Specified,2 chambres,2 sdbs,Étage 3,"Castilla, Tanger",2 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 326 000
91 m²,2 chambres,1 sdb,Étage 1,"Médina, Tanger",13 500 000
60 m²,2 chambres,1 sdb,Étage 3,"Boukhalef, Tanger",330 000
Not Specified,2 chambres,1 sdb,Étage 1,"Autre secteur, Tanger",620 000
82 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Tanger",860 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
150 m²,3 chambres,3 sdbs,Étage 1,"Centre ville, Tanger",2 800 000
Not Specified,2 chambres,0 sdb,Étage 10,"Centre ville, Tanger",1 370 000
Not Specified,4 chambres,2 sdbs,Rez de chaussée,"Malabata, Tanger",2 850 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Autre secteur, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
183 m²,4 chambres,3 sdbs,Étage 6,"Centre ville, Tanger",11 500
Not Specified,2 chambres,2 sdbs,Étage 1,"Autre secteur, Tanger",Not Specified
79 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Tanger",80 000 000
190 m²,2 chambres,1 sdb,Étage 1,"Malabata, Tanger",2 125 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,600 000
Not Specified,2 chambres,Not Specified,Étage 6,"Autre secteur, Tanger",630 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Malabata, Tanger",135 000 000
51 m²,1 chambre,1 sdb,Étage 2,"Centre ville, Tanger",1 300 000
112 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",2 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,380 000
82 m²,2 chambres,1 sdb,Étage 13,"Malabata, Tanger",2 900 000
153 m²,3 chambres,2 sdbs,Étage 1,"Moujahidine, Tanger",Not Specified
Not Specified,3 chambres,Not Specified,Étage 1,"Tanger City Center, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
