surface,chambres,sdb,etage,location,prix
70 m²,2 chambres,1 sdb,Étage 4,"Marjane 2, Meknès",370 000
100 m²,3 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",600 000
280 m²,4 chambres,2 sdbs,Étage 2,"El Bassatine, Meknès",Not Specified
92 m²,2 chambres,1 sdb,Étage 2,"El Bassatine, Meknès",Not Specified
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Wislane, Meknès",420 000
105 m²,3 chambres,1 sdb,Étage 3,"Autre secteur, Meknès",550 000
Not Specified,3 chambres,3 sdbs,Étage 4,"Hamria, Meknès",Not Specified
60 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",260 000
59 m²,2 chambres,1 sdb,Étage 2,"El Bassatine, Meknès",340 000
Not Specified,2 chambres,1 sdb,Étage 2,"Marjane 2, Meknès",440 000
50 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",265 000
93 m²,2 chambres,2 sdbs,Étage 7,"Hamria, Meknès",650 000
68 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",260 000
68 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",260 000
100 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",45 000 000
70 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",34
63 m²,3 chambres,1 sdb,Étage 3,"Wislane, Meknès",30 000
84 m²,3 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",445 000
60 m²,2 chambres,1 sdb,Étage 2,"Hamria, Meknès",Not Specified
65 m²,2 chambres,2 sdbs,Étage 7,"Hamria, Meknès",330 000
60 m²,3 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",380 000
140 m²,3 chambres,2 sdbs,Étage 1,"Sidi Said, Meknès",Not Specified
131 m²,3 chambres,2 sdbs,Étage 2,"Ville Nouvelle, Meknès",780 000
Not Specified,4 chambres,Not Specified,Étage 2,"Autre secteur, Meknès",520 000
67 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",240 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",520 000
58 m²,2 chambres,1 sdb,Étage 3,"Riad Toulal, Meknès",240 000
110 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",56
84 m²,3 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",445 000
Not Specified,3 chambres,Not Specified,Étage 2,"Marjane 2, Meknès",75 000
100 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",620 000
110 m²,3 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",590 000
118 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",560 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",660 000
115 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",670 000
Not Specified,2 chambres,Not Specified,Étage 1,"Riad Toulal, Meknès",Not Specified
100 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",620 000
115 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",67 000
83 m²,2 chambres,2 sdbs,Étage 4,"Ville Nouvelle, Meknès",670 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
71 m²,2 chambres,1 sdb,Étage 3,"El Bassatine, Meknès",400 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",58
211 m²,3 chambres,2 sdbs,Étage 3,"Ville Nouvelle, Meknès",1 800 000
54 m²,1 chambre,0 sdb,Étage 3,"Wislane, Meknès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,"Marjane 2, Meknès",Not Specified
70 m²,2 chambres,2 sdbs,Étage 4,"El Bassatine, Meknès",36
Not Specified,3 chambres,Not Specified,Étage 4,"Autre secteur, Meknès",340 000
96 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",750 000
110 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",470 000
112 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",600 000
Not Specified,3 chambres,Not Specified,Étage 4,"Hamria, Meknès",7 500
86 m²,1 chambre,2 sdbs,Étage 1,"Autre secteur, Meknès",500 000
Not Specified,2 chambres,1 sdb,Étage 1,"Wislane, Meknès",350 000
Not Specified,2 chambres,Not Specified,Étage 1,"Marjane 2, Meknès",300 000
131 m²,2 chambres,2 sdbs,Not Specified,"Autre secteur, Meknès",450 000
80 m²,2 chambres,Not Specified,Étage 4,"Autre secteur, Meknès",3 450 000
Not Specified,2 chambres,1 sdb,Étage 2,"Wislane, Meknès",Not Specified
80 m²,2 chambres,1 sdb,Étage 3,"El Bassatine, Meknès",400 000
66 m²,3 chambres,1 sdb,Étage 3,"Marjane 2, Meknès",450 000
80 m²,2 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",400 000
70 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",Not Specified
107 m²,2 chambres,0 sdb,Rez de chaussée,"Hamria, Meknès",890 000
59 m²,2 chambres,1 sdb,Rez de chaussée,"Bele Vue, Meknès",320 000
133 m²,3 chambres,2 sdbs,Étage 4,"Hamria, Meknès",860 000
103 m²,3 chambres,1 sdb,Étage 2,"Marjane 2, Meknès",720 000
93 m²,3 chambres,2 sdbs,Étage 5,"Hamria, Meknès",650 000
57 m²,2 chambres,1 sdb,Étage 2,"Hamria, Meknès",390 000
69 m²,2 chambres,1 sdb,Étage 2,"Hamria, Meknès",390 000
70 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",350 000
Not Specified,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",450 000
113 m²,3 chambres,2 sdbs,Étage 2,"Wislane, Meknès",Not Specified
69 m²,2 chambres,2 sdbs,Étage 4,"El Bassatine, Meknès",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",320 000
83 m²,2 chambres,1 sdb,Étage 1,"Ancienne Médina, Meknès",280 000
Not Specified,3 chambres,1 sdb,Étage 4,"Hay Salam, Meknès",Not Specified
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
96 m²,3 chambres,1 sdb,Étage 4,"La Hacienda, Meknès",440 000
154 m²,4 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",800 000
75 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",330 000
138 m²,3 chambres,2 sdbs,Étage 6,"Hamria, Meknès",1 100 000
190 m²,4 chambres,2 sdbs,Rez de chaussée,"El Bassatine, Meknès",Not Specified
68 m²,3 chambres,2 sdbs,Étage 1,"Wislane, Meknès",50 000
120 m²,3 chambres,3 sdbs,Étage 1,"Marjane 2, Meknès",56
126 m²,2 chambres,1 sdb,Étage 1,"Hamria, Meknès",1 200 000
0 m²,1 chambre,0 sdb,Rez de chaussée,"Autre secteur, Meknès",Not Specified
100 m²,3 chambres,2 sdbs,Étage 1,"El Bassatine, Meknès",530 000
160 m²,3 chambres,2 sdbs,Étage 1,"Zitoune, Meknès",Not Specified
110 m²,3 chambres,2 sdbs,Étage 2,"Marjane 2, Meknès",Not Specified
59 m²,2 chambres,1 sdb,Étage 3,"Ville Nouvelle, Meknès",250 000
220 m²,3 chambres,3 sdbs,Rez de chaussée,"Autre secteur, Meknès",1 070 000
60 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Meknès",180 000
Not Specified,2 chambres,1 sdb,Étage 7,"El Bassatine, Meknès",460 000
168 m²,2 chambres,2 sdbs,Étage 1,"Ville Nouvelle, Meknès",745 815
139 m²,3 chambres,2 sdbs,Étage 4,"Hamria, Meknès",930 000
140 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",1 040 000
95 m²,3 chambres,1 sdb,Étage 6,"Marjane 2, Meknès",470 000
76 m²,3 chambres,1 sdb,Étage 3,"Marjane 2, Meknès",340 000
92 m²,2 chambres,1 sdb,Étage 3,"El Bassatine, Meknès",Not Specified
140 m²,2 chambres,0 sdb,Étage 1,"Ancienne Médina, Meknès",65 000
65 m²,2 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",260 000
Not Specified,2 chambres,0 sdb,Étage 1,"Autre secteur, Meknès",250 000
87 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",420 000
90 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",550 000
Not Specified,3 chambres,Not Specified,Étage 1,"Zitoune, Meknès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,"Wislane, Meknès",300 000
110 m²,3 chambres,3 sdbs,Étage 1,"Autre secteur, Meknès",450 000
140 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",1 080 000
100 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",560
71 m²,3 chambres,2 sdbs,Étage 1,"Riad Toulal, Meknès",Not Specified
87 m²,2 chambres,1 sdb,Étage 1,"Ville Nouvelle, Meknès",470 000
73 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Meknès",460 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
100 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",650 000
116 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",600 000
126 m²,3 chambres,3 sdbs,Étage 1,"Hamria, Meknès",10 070 000
100 m²,3 chambres,1 sdb,Étage 2,"Sidi Bouzekri, Meknès",34 000 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",680 000
93 m²,2 chambres,2 sdbs,Étage 2,"Hamria, Meknès",Not Specified
60 m²,2 chambres,1 sdb,Rez de chaussée,"Wislane, Meknès",250 000
