surface,chambres,sdb,etage,location,prix
80 m²,2 chambres,1 sdb,Étage 4,"Marrakech, Guéliz",1 650 000
78 m²,2 chambres,2 sdbs,Étage 2,"Marrakech, Guéliz",Not Specified
135 m²,3 chambres,2 sdbs,Rez de chaussée,"Marrakech, Majorelle",1 700 000
73 m²,2 chambres,2 sdbs,Étage 1,"Bouaakkaz, Marrakech",920 000
42 m²,1 chambre,1 sdb,Étage 3,"Sidi Abbad, Marrakech",Not Specified
220 m²,3 chambres,5 sdbs,Étage 1,"Annakhil, Marrakech",3 200 000
55 m²,2 chambres,1 sdb,Étage 2,"Mabrouka, Marrakech",580 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,390 000
64 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Marrakech",360 000
64 m²,1 chambre,1 sdb,Étage 2,"Guéliz, Marrakech",1 450 000
Not Specified,3 chambres,0 sdb,Étage 2,"Route d'Amezmiz, Marrakech",1 130 000
Not Specified,2 chambres,1 sdb,Étage 2,"Route de Casablanca, Marrakech",510 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 505 000
39 m²,1 chambre,1 sdb,Étage 5,"Guéliz, Marrakech",925 000
148 m²,3 chambres,1 sdb,Étage 5,"Centre Ville, Marrakech",3 326 000
90 m²,2 chambres,2 sdbs,Étage 2,"Av Abdelkrim El Khattabi, Marrakech",1 300 000
60 m²,2 chambres,1 sdb,Étage 1,"M'Hamid, Marrakech",650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 800 000
87 m²,3 chambres,2 sdbs,Rez de chaussée,"Allal El Fassi, Marrakech",1 100 000
70 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Marrakech",500 000
80 m²,2 chambres,2 sdbs,Rez de chaussée,"Azzouzia, Marrakech",670 000
54 m²,3 chambres,1 sdb,Étage 1,"Hay Izdihar, Marrakech",775 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,936 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Semlalia, Marrakech",1 650 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Agdal, Marrakech",2 600 000
106 m²,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 800 000
Not Specified,1 chambre,1 sdb,Étage 1,"Route de Casablanca, Marrakech",710 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 160 000
101 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",850 000
113 m²,2 chambres,3 sdbs,Étage 1,"Targa, Marrakech",11 000
Not Specified,1 chambre,1 sdb,Étage 4,"Route de Casablanca, Marrakech",870 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Targa, Marrakech",650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,980 000
70 m²,2 chambres,2 sdbs,Rez de chaussée,"Route de Casablanca, Marrakech",1 200 000
161 m²,2 chambres,2 sdbs,Rez de chaussée,"Agdal, Marrakech",2 700 000
133 m²,3 chambres,2 sdbs,Étage 4,"Semlalia, Marrakech",2 100 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Route de Fès, Marrakech",1 160 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 457 700
131 m²,3 chambres,2 sdbs,Étage 5,"Route de Casablanca, Marrakech",1 800 000
131 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Marrakech",1 775 000
90 m²,2 chambres,1 sdb,Rez de chaussée,"Av Abdelkrim El Khattabi, Marrakech",1 700 000
89 m²,2 chambres,1 sdb,Étage 2,"Hay Izdihar, Marrakech",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,735 000
Not Specified,2 chambres,Not Specified,Étage 2,"Azzouzia, Marrakech",620 000
Not Specified,1 chambre,Not Specified,Étage 3,"M'Hamid, Marrakech",450 000
72 m²,2 chambres,1 sdb,Rez de chaussée,"Targa, Marrakech",560 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,840 000
48 m²,1 chambre,1 sdb,Étage 2,"Marrakech, Guéliz",Not Specified
139 m²,3 chambres,2 sdbs,Étage 5,"Marrakech, Guéliz",3 300 000
56 m²,1 chambre,2 sdbs,Étage 1,"Marrakech, Victor Hugo",1 160 000
80 m²,2 chambres,1 sdb,Étage 4,"Guéliz, Marrakech",1 650 000
95 m²,3 chambres,1 sdb,Étage 2,"Autre secteur, Marrakech",880 000
