surface,chambres,sdb,etage,location,prix
84 m²,2 chambres,1 sdb,Étage 1,"Sidi Moumen, Casablanca",420 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,890 000
188 m²,3 chambres,3 sdbs,Étage 2,"2 Mars, Casablanca",1 950 000
155 m²,3 chambres,2 sdbs,Étage 4,"Maarif, Casablanca",1 600 000
98 m²,3 chambres,1 sdb,Étage 3,"Sidi Moumen, Casablanca",630 000
58 m²,2 chambres,1 sdb,Étage 3,"Palmier, Casablanca",1 470 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,786 250
36 m²,1 chambre,2 sdbs,Étage 1,"Bachkou, Casablanca",885 000
160 m²,1 chambre,1 sdb,Étage 1,"Belvédère, Casablanca",1 485 000
130 m²,3 chambres,2 sdbs,Étage 4,"Quartier des Hôpitaux, Casablanca",1 800 000
60 m²,2 chambres,1 sdb,Étage 4,"Sidi Moumen, Casablanca",310 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,700 000
80 m²,2 chambres,2 sdbs,Étage 2,"Sidi Maarouf, Casablanca",9 400 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"La Gironde, Casablanca",724 000
172 m²,2 chambres,1 sdb,Étage 1,"Bournazil, Casablanca",730 000
219 m²,3 chambres,2 sdbs,Étage 1,"Palmier, Casablanca",2 965 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 218 000
57 m²,1 chambre,1 sdb,Étage 5,"Les Princesses, Casablanca",1 269 000
123 m²,3 chambres,2 sdbs,Étage 2,"Maârif Extension, Casablanca",1 500 000
100 m²,2 chambres,2 sdbs,Étage 3,"Gauthier, Casablanca",1 450 000
76 m²,3 chambres,2 sdbs,Étage 2,"Almaz, Casablanca",896 800
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
267 m²,3 chambres,2 sdbs,Étage 1,"Triangle d'Or, Casablanca",3 750 000
109 m²,2 chambres,2 sdbs,Étage 5,"Anfa, Casablanca",1 950 000
50 m²,2 chambres,1 sdb,Étage 1,"Lissasfa, Casablanca",320 000
150 m²,3 chambres,2 sdbs,Étage 6,"Maarif, Casablanca",2 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,803 000
109 m²,2 chambres,2 sdbs,Étage 2,"Maarif, Casablanca",1 050 000
57 m²,1 chambre,1 sdb,Étage 4,"Les Princesses, Casablanca",1 280 000
86 m²,2 chambres,2 sdbs,Étage 2,"Ferme Bretone, Casablanca",1 960 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,477 100
48 m²,1 chambre,1 sdb,Étage 3,"Casablanca, Abdelmoumen",1 140 000
144 m²,2 chambres,2 sdbs,Rez de chaussée,"Casablanca, Californie",1 550 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Casablanca, Maarif",1 760 000
88 m²,2 chambres,2 sdbs,Étage 2,"Maârif Extension, Casablanca",1 260 000
55 m²,2 chambres,1 sdb,Étage 1,"Lissasfa, Casablanca",360 000
55 m²,2 chambres,1 sdb,Étage 1,"Oulfa, Casablanca",360 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Ferme Bretone, Casablanca",1 930 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
90 m²,1 chambre,1 sdb,Étage 10,"Autre secteur, Casablanca",900 000
89 m²,3 chambres,2 sdbs,Étage 4,"Maârif Extension, Casablanca",1 480 000
197 m²,4 chambres,3 sdbs,Étage 1,"Anfa, Casablanca",3 940 000
126 m²,2 chambres,2 sdbs,Étage 5,"Belvédère, Casablanca",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 050 000
